playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476392,2024,Adam Lowry,WPG,C,5on4,81,2266,66,25.47,0.85,0.88,0.87,0.86,0.84,0.83,341,4.66,0.6,0.43,0.81,0.17,3.42,1.56,0.54,0.6,0.54,2,0,5,2,0,7,2,0,2,0,0,0,3,2,5,7,1,2,30,0,2,0,4,2,1,0.2,0.19,0.21,0,0,0,7,7,7,0,0.1,0.71,0,0.71,0.71,0.64,66,31,6,7,22,13,4,10,39,30,79,13131,2,0,0,10,26.16,3.27,2.88,3.27,2.88,24,13,18,55,4,5,1,25,7,5,0.69,0.74,1.83,1,1,2,55,37,37,0.55,1.11,1.1,2.72,2.72,2.52,5.26,0.59,0.59,0.59,0.59,5,2,1,8,1,0,0,4,2,1,0.08,0.24,0.28,0,1,0,8,7,7,0.06,0,0,0.66,0.66,0.66,16.07,2.13,317,50,0,0.28,0,1,0,1
8480027,2024,Jason Robertson,DAL,L,other,82,4434,56,56.85,0.7,0.52,0.7,0.33,0.7,0.33,196,24.39,5.2,1.91,5.13,0.95,15.1,6.71,5,5.2,5,3,1,18,17,14,49,8,4,5,1,4,1,14,7,14,31,0,0,0,1,1,1,22,4,9,0.66,0.47,4.08,0,1,3,49,35,35,0,0.56,2.02,1.07,4.69,4.69,4.54,56,19,6,4,27,9,12,9,26,0,0,4534,0,0,0,1,81.16,19.06,16.27,19.06,16.27,68,44,48,160,11,17,3,51,29,32,1.64,3.31,14.11,1,3,7,160,112,112,2.05,6.04,6.04,15.06,15.06,13.35,33.18,8.08,7.96,8.08,7.96,28,21,19,68,6,2,0,28,8,13,1.22,0.96,5.9,0,1,5,68,49,49,0.65,0.61,0.61,8.12,8.12,8.01,15.65,14.43,81,166,0,0,0,0,0,0
8480027,2024,Jason Robertson,DAL,L,all,82,90158,1739,90.07,0.67,0.5,0.62,0.49,0.62,0.48,197,241.77,24.17,17.22,58.15,8.24,135.06,91.17,23.31,24.34,23.49,23,28,231,103,143,477,80,29,23,6,39,1,131,111,202,305,11,22,0,77,60,45,250,57,27,7.53,6.64,9.99,11,9,9,481.67,334,336.56,12,4.01,5.18,5.26,22.92,23.05,22.5,1739,353,183,273,930,273,213,280,973,0,0,208769,22,30,15,31,986.9,107.48,101.51,108.05,102.06,944,424,552,1920,117,108,15,974,272,122,28.85,32.73,45.9,45,37,35,1933.46,1368,1374.92,16.8,23.97,24.3,99.98,100.49,96.99,604.58,52.71,51.58,52.6,51.46,549,280,336,1165,59,44,6,631,145,53,16.52,18.13,18.08,18,26,15,1153.95,829,824.96,7.61,8.89,8.89,51.45,51.4,50.77,175.88,173.8,3381,3575,0,0,0,0,0,0
8480027,2024,Jason Robertson,DAL,L,5on5,82,72588,1484,90.07,0.57,0.53,0.56,0.52,0.56,0.52,222,161.61,12.71,10.32,41.03,5.54,86.93,67.48,12.34,12.88,12.51,15,11,159,65,99,323,43,17,12,2,25,0,90,80,142,207,9,18,0,73,57,37,177,38,9,5.54,4.54,2.62,9,6,2,327.67,224,226.56,9,2.15,2.05,2.58,12.28,12.4,12.19,1484,201,176,249,858,225,186,231,842,0,0,173059,18,28,14,28,663.94,53.47,51.76,54.04,52.31,633,292,396,1321,66,53,5,720,160,45,21.97,19.61,11.9,37,23,6,1334.46,925,931.92,8.76,9.88,10.21,52.02,52.53,51.68,525,39.73,38.73,39.61,38.62,470,248,310,1028,48,40,5,562,122,34,14.25,15.33,10.15,18,23,7,1016.95,718,713.96,6.41,7.68,7.68,38.45,38.4,37.9,128.06,113.44,2945,2730,2.16,1.5,42,59,31,42
8480027,2024,Jason Robertson,DAL,L,4on5,82,46,5,4.68,0,0.05,0,0.21,0,0.19,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,1,0,4,0,0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,3.19,10,38,0,0,0,0,0,0
8480027,2024,Jason Robertson,DAL,L,5on4,82,13090,194,89.82,0.9,0.94,0.87,0.87,0.85,0.84,198,52.7,5.96,4.76,11.46,1.66,31.56,15.6,5.68,5.96,5.68,3,16,50,21,29,100,27,8,6,3,8,0,26,23,42,63,2,4,0,3,1,5,48,14,9,1.15,1.52,3.3,2,2,4,100,71,71,2,1.24,1.11,1.6,5.6,5.6,5.42,194,133,1,20,40,39,14,40,101,0,0,8723,4,0,0,0,230,33.18,31.76,33.18,31.76,231,85,103,419,38,37,7,197,75,44,4.91,8.78,19.51,6,10,22,419,316,316,5.73,7.66,7.66,31.26,31.26,30.34,40.83,3.59,3.57,3.59,3.57,45,10,5,60,2,1,0,38,14,3,0.93,1.74,0.92,0,2,0,60,55,55,0.48,0.14,0.14,3.93,3.93,3.92,21.07,1.43,231,36,0.01,0.07,1,3,1,3
8471677,2024,Jack Johnson,COL,D,other,80,886,22,5.83,0.5,0.54,0.3,0.43,0.35,0.43,113,1.11,0.42,0.08,0.18,0.04,0.75,0.52,0.37,0.42,0.37,1,0,1,1,1,3,1,0,0,0,0,0,1,1,1,2,0,0,0,2,0,0,1,0,1,0.02,0,0.4,0,0,0,3,2,2,0,0.02,0,0,0.44,0.44,0.39,22,1,6,4,11,2,8,3,9,0,0,4023,0,0,0,3,8.26,2.06,2,2.06,2,8,4,1,13,2,1,0,6,3,3,0.21,0.41,1.44,1,0,1,13,12,12,0.15,0.14,0.14,2.07,2.07,2.01,16.97,2.07,1.91,2.07,1.91,15,7,9,31,1,1,0,14,6,2,0.6,0.88,0.59,1,0,0,31,22,22,0.38,0.38,0.38,2.07,2.07,1.92,14.73,12.51,89,120,0,0,0,0,0,0
8471677,2024,Jack Johnson,COL,D,all,80,71651,1545,20.8,0.46,0.53,0.47,0.54,0.47,0.54,436,77.92,3.44,4.25,21.41,2.53,45.15,34.23,3.34,3.4,3.29,8,5,76,35,90,201,16,3,9,0,17,0,41,41,73,108,8,18,0,78,12,20,107,2,2,2.49,0.2,0.75,3,0,0,202.94,111,111.22,14,0.87,2.19,0.54,3.76,3.74,3.66,1545,67,193,187,1098,287,256,181,821,0,0,219313,18,14,7,89,588.02,50.68,48.75,50.86,48.98,553,255,338,1146,55,50,8,605,162,41,17.68,20.11,12.89,23,27,5,1162.95,808,815.84,7.95,10.71,10.43,48.2,48.56,47.88,677.53,58.96,56.03,59.1,56.12,608,314,349,1271,48,74,9,699,163,60,19.58,19.98,19.39,18,16,14,1262.03,922,918.81,9.9,15.18,15.18,53.68,53.65,52.46,233.85,204.08,4058,3401,0,0,0,0,0,0
8471677,2024,Jack Johnson,COL,D,5on5,80,66301,1390,20.8,0.48,0.54,0.49,0.54,0.48,0.54,413,75.38,3,4.07,20.84,2.45,43.65,32.99,2.95,2.96,2.91,7,5,74,33,87,194,15,3,9,0,16,0,40,39,71,104,8,18,0,73,11,18,104,2,1,2.45,0.2,0.36,3,0,0,195.94,107,107.22,13,0.82,2.19,0.54,3.28,3.25,3.22,1390,63,153,179,995,274,228,157,731,0,0,166313,18,14,7,79,564.29,46.2,44.41,46.38,44.64,528,248,331,1107,52,46,8,587,155,34,17.16,19.27,9.76,22,27,3,1123.95,776,783.84,7.62,9.67,9.39,44.43,44.79,44.17,607,50.43,47.84,50.56,47.93,542,284,316,1142,39,67,9,631,145,50,17.76,17.71,14.95,17,13,9,1133.03,826,822.81,8.21,14.08,14.08,44.57,44.54,43.67,135.4,115.71,2991,2517,6.85,0.77,108,18,86,13
8471677,2024,Jack Johnson,COL,D,4on5,80,4366,121,19.2,0.2,0.09,0.18,0.12,0.19,0.15,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,121,2,34,3,82,8,18,20,75,0,0,17203,0,0,0,0,13.15,1.6,1.52,1.6,1.52,15,2,4,21,0,3,0,10,4,3,0.28,0.42,0.89,0,0,0,21,17,17,0.15,0.89,0.89,0.85,0.85,0.85,51.92,6.26,6.07,6.26,6.07,50,22,22,94,8,6,0,53,11,8,1.16,1.25,3.85,0,3,5,94,72,72,1.27,0.72,0.72,6.81,6.81,6.63,4.31,41.14,67,481,0.04,0,2,0,2,0
