Rk,name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
79,Spencer Martin,VAN,26,6,1.74,0.95,3,0,11,207,218,0,378,0,0,0,0
80,Jean-Francois Berube,CBJ,30,6,4.12,0.9,3,2,21,188,209,0,306,0,1,1,0
81,Harri Säteri,ARI,32,6,4.22,0.866,2,2,21,136,157,0,298,0,0,0,0
82,Akira Schmid,NJD,21,6,4.83,0.833,0,4,19,95,114,0,236,0,0,0,0
83,Carey Price,MTL,34,5,3.63,0.878,1,4,18,130,148,0,298,0,0,0,0
84,Felix Sandstrom,PHI,24,5,3.23,0.91,0,4,16,161,177,0,297,0,0,0,0
85,Joey Daccord,SEA,25,5,4.3,0.85,0,4,21,119,140,0,293,0,0,0,0
86,Charlie Lindgren,STL,28,5,1.22,0.958,5,0,5,113,118,0,246,0,0,0,0
87,Joseph Woll,TOR,23,4,2.76,0.911,3,1,11,112,123,1,239,0,0,0,2
88,Malcolm Subban,BUF,28,4,4.85,0.871,0,2,17,115,132,0,210,0,0,0,0
89,Lukas Dostal,ANA,21,4,2.98,0.907,1,2,10,98,108,0,201,0,0,0,0
90,Tuukka Rask,BOS,34,4,4.28,0.844,2,2,14,76,90,0,196,0,0,0,2
91,Daniil Tarasov,CBJ,22,4,2.4,0.937,0,2,7,104,111,0,175,0,0,0,0
92,Zachary Fucale,WSH,26,4,1.75,0.924,1,1,5,61,66,1,172,0,0,0,0
93,Ivan Prosvetov,ARI,22,3,4.22,0.875,0,2,13,91,104,0,185,0,0,0,0
94,Connor Ingram,NSH,24,3,3.71,0.879,1,2,11,80,91,0,178,0,0,0,0
95,Arvid Soderblom,CHI,22,3,5.01,0.863,0,2,13,82,95,0,156,0,0,0,0
96,Pyotr Kochetkov,CAR,22,3,2.42,0.902,3,0,6,55,61,0,149,0,0,0,0
97,Calvin Pickard,DET,29,3,4.3,0.875,1,1,9,63,72,0,126,0,0,0,0
98,Carter Hutton,ARI,36,3,7.76,0.741,0,2,15,43,58,0,116,0,0,0,0
99,Alex Lyon,CAR,29,2,2.93,0.908,1,0,6,59,65,0,123,0,0,0,0
100,Michael Houser,BUF,29,2,2,0.948,2,0,4,73,77,0,120,0,0,0,0
