Rk,Team,GP,W,L,OT,PTS,PTS/GP,ROW,GF,GA,GD
1,New York Rangers,82,55,23,4,114,1.39,51,282,229,53
2,Dallas Stars,82,52,21,9,113,1.38,48,298,234,64
3,Carolina Hurricanes,82,52,23,7,111,1.35,50,279,216,63
4,Winnipeg Jets,82,52,24,6,110,1.34,52,259,199,60
5,Florida Panthers,82,52,24,6,110,1.34,49,268,200,68
6,Vancouver Canucks,82,50,23,9,109,1.33,50,279,223,56
7,Boston Bruins,82,47,20,15,109,1.33,43,267,224,43
8,Colorado Avalanche,82,50,25,7,107,1.3,48,304,254,50
9,Edmonton Oilers,82,49,27,6,104,1.27,47,294,237,57
10,Toronto Maple Leafs,82,46,26,10,102,1.24,41,303,263,40
11,Nashville Predators,82,47,30,5,99,1.21,44,269,248,21
12,Los Angeles Kings,82,44,27,11,99,1.21,42,256,215,41
13,Tampa Bay Lightning,82,45,29,8,98,1.2,42,291,268,23
14,Vegas Golden Knights,82,45,29,8,98,1.2,41,267,245,22
15,New York Islanders,82,39,27,16,94,1.15,38,246,263,-17
16,St. Louis Blues,82,43,33,6,92,1.12,38,239,250,-11
17,Washington Capitals,82,40,31,11,91,1.11,36,220,257,-37
18,Detroit Red Wings,82,41,32,9,91,1.11,38,278,274,4
19,Minnesota Wild,82,39,33,10,88,1.07,36,251,263,-12
20,Pittsburgh Penguins,82,38,32,12,88,1.07,36,255,251,4
21,Philadelphia Flyers,82,38,33,11,87,1.06,34,235,261,-26
22,Buffalo Sabres,82,39,37,6,84,1.02,37,246,244,2
23,New Jersey Devils,82,38,39,5,81,0.99,38,264,283,-19
24,Calgary Flames,82,38,39,5,81,0.99,38,253,271,-18
25,Seattle Kraken,82,34,35,13,81,0.99,31,217,236,-19
26,Ottawa Senators,82,37,41,4,78,0.95,32,255,281,-26
27,Arizona Coyotes,82,36,41,5,77,0.94,34,256,274,-18
28,Montreal Canadiens,82,30,36,16,76,0.93,26,236,289,-53
29,Columbus Blue Jackets,82,27,43,12,66,0.8,24,237,300,-63
30,Anaheim Ducks,82,27,50,5,59,0.72,26,204,295,-91
31,Chicago Blackhawks,82,23,53,6,52,0.63,22,179,290,-111
32,San Jose Sharks,82,19,54,9,47,0.57,18,181,331,-150
