Rk,Team,GP,W,L,OT,PTS,PTS/GP,ROW,GF,GA,GD
1,Florida Panthers,82,58,18,6,122,1.49,55,340,246,94
2,Colorado Avalanche,82,56,19,7,119,1.45,52,312,234,78
3,Carolina Hurricanes,82,54,20,8,116,1.41,53,278,202,76
4,Toronto Maple Leafs,82,54,21,7,115,1.4,51,315,253,62
5,Minnesota Wild,82,53,22,7,113,1.38,48,310,253,57
6,Calgary Flames,82,50,21,11,111,1.35,48,293,208,85
7,New York Rangers,82,52,24,6,110,1.34,48,254,207,47
8,Tampa Bay Lightning,82,51,23,8,110,1.34,49,287,233,54
9,St. Louis Blues,82,49,22,11,109,1.33,47,311,242,69
10,Boston Bruins,82,51,26,5,107,1.3,49,255,220,35
11,Edmonton Oilers,82,49,27,6,104,1.27,44,290,252,38
12,Pittsburgh Penguins,82,46,25,11,103,1.26,43,272,229,43
13,Washington Capitals,82,44,26,12,100,1.22,39,275,245,30
14,Los Angeles Kings,82,44,27,11,99,1.21,40,239,236,3
15,Dallas Stars,82,46,30,6,98,1.2,41,238,246,-8
16,Nashville Predators,82,45,30,7,97,1.18,41,266,252,14
17,Vegas Golden Knights,82,43,31,8,94,1.15,39,266,248,18
18,Vancouver Canucks,82,40,30,12,92,1.12,37,249,236,13
19,Winnipeg Jets,82,39,32,11,89,1.09,37,252,257,-5
20,New York Islanders,82,37,35,10,84,1.02,35,231,237,-6
21,Columbus Blue Jackets,82,37,38,7,81,0.99,33,262,300,-38
22,San Jose Sharks,82,32,37,13,77,0.94,29,214,264,-50
23,Anaheim Ducks,82,31,37,14,76,0.93,27,232,271,-39
24,Buffalo Sabres,82,32,39,11,75,0.91,29,232,290,-58
25,Detroit Red Wings,82,32,40,10,74,0.9,29,230,312,-82
26,Ottawa Senators,82,33,42,7,73,0.89,30,227,266,-39
27,Chicago Blackhawks,82,28,42,12,68,0.83,22,219,291,-72
28,New Jersey Devils,82,27,46,9,63,0.77,24,248,307,-59
29,Philadelphia Flyers,82,25,46,11,61,0.74,24,211,298,-87
30,Seattle Kraken,82,27,49,6,60,0.73,24,216,285,-69
31,Arizona Coyotes,82,25,50,7,57,0.7,24,207,313,-106
32,Montreal Canadiens,82,22,49,11,55,0.67,19,221,319,-98
